public_health_id,target_id,canonical_name,normalized_name,institution_type,parent_organization,address,normalized_address,base_address_key,current_status,representative_phone,homepage_url,jurisdiction,primary_source_url,primary_source_updated_at,latest_verified_at,source_count,has_conflict,review_status,entity_candidate_id,evidence_hash,extraction_method,extraction_confidence
public_health:c4eef21d76ba08f8,phc:gosan,고산보건진료소,고산보건진료소,public_health_clinic,원주시보건소,원주시 호저면 광학로 16 (광격리 819-6),원주시 호저면 광학로 16 (광격리 819-6),광학로16,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,eee913937c65bf9eb6cd,3f2575175cd4447549725b31090214dc7dc0fcb530076ef6de7253aba160a2f9,official_table_row,high
public_health:110991d0a71108ed,phc:sanhyeon,산현보건진료소,산현보건진료소,public_health_clinic,원주시보건소,원주시 호저면 칠봉로 380 (산현리 179-4),원주시 호저면 칠봉로 380 (산현리 179-4),칠봉로380,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,37e60804062255ed5633,048959f07dc1df22a85fea893a26995e9c596db4d40ba9aa2f7fc00b5d51ed82,official_table_row,high
public_health:2b27394b746c8f74,phc:pandae,판대보건진료소,판대보건진료소,public_health_clinic,원주시보건소,원주시 지정면 장지길 2 (판대리 169-1),원주시 지정면 장지길 2 (판대리 169-1),장지길2,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,58ac4c548135eaacad50,a5126b95d5a920694fa66cbfc0f9df5dd36504fe1bcd9c851f15771a9ff3a6f9,official_table_row,high
public_health:491989c6474cc1f2,phc:dangang,단강보건진료소,단강보건진료소,public_health_clinic,원주시보건소,원주시 부론면 부귀로 753 (단강리 1382-2),원주시 부론면 부귀로 753 (단강리 1382-2),부귀로753,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,abf448829ad60f803c18,5d943f493fce41fe3f6c299576dd59c8706d1b35dadc3fca2dd2cc22e4a8e200,official_table_row,high
public_health:1edc176e6277e4a0,phc:saje,사제보건진료소,사제보건진료소,public_health_clinic,원주시보건소,원주시 흥업면 사제로 424 (사제리 495-1),원주시 흥업면 사제로 424 (사제리 495-1),사제로424,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,e4a616eb550c81004236,ca8f8da6f7850480013cec911b627854cc25b1c16f82ceffb145564e8bb8de66,official_table_row,high
public_health:f26c8aeff7ed0838,phc:hwangdun,황둔보건진료소,황둔보건진료소,public_health_clinic,원주시보건소,원주시 신림면 신림황둔로 1213 (황둔리 334-1),원주시 신림면 신림황둔로 1213 (황둔리 334-1),신림황둔로1213,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,80aebe3ed4909e6cb3be,8eb43fb26846923af06ec2224310383f28ae0cc9007d76a4079ac5bd296ae758,official_table_row,high
public_health:5806f0e0ec6a5bbf,hls:namwonju,남원주건강생활지원센터,남원주건강생활지원센터,health_life_support_center,원주시보건소,강원특별자치도 원주시 단관공원길 86,강원특별자치도 원주시 단관공원길 86,단관공원길86,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=3745,2026.02.26,2026-07-15T23:45:29+09:00,1,False,verified,e21905126d99cc1aecea,a767413b745dccd4d498d243a58e464e90b9558271e8da2e27b864656cea729b,official_labeled_field,high
public_health:b9c5349b1a66315c,hls:namwonju-annex,남원주건강생활지원센터 혁신분소,남원주건강생활지원센터혁신분소,health_life_support_center,원주시보건소,강원특별자치도 원주시 건강로 73,강원특별자치도 원주시 건강로 73,건강로73,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=3745,2026.02.26,2026-07-15T23:45:29+09:00,1,False,verified,e2b729ddf405c49772d8,1db1e3f88a6864938c41ed6dc000db54a3941c390586641382058a82396964de,official_labeled_field,high
public_health:d1a1681a17ef4e55,hls:seowonju,서원주건강생활지원센터,서원주건강생활지원센터,health_life_support_center,원주시보건소,강원특별자치도 원주시 지정면 가곡로 75-2,강원특별자치도 원주시 지정면 가곡로 75-2,가곡로75-2,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5551,2026.02.26,2026-07-15T23:45:29+09:00,1,False,verified,0e70ee619398c0e9620c,bc708fd1e08efd3019242f622b364dc2ebfb0d3016e68ff37deab6c665ce95de,official_labeled_field,high
public_health:a7d2ef4e0e47597f,mh:wonju,원주시정신건강복지센터,원주시정신건강복지센터,mental_health_welfare_center,원주시보건소,원주시 원일로 139 4층,원주시 원일로 139 4층,원일로139,source_confirmed,033-746-0199,https://loveme.yonsei.kr/,원주시,https://www.wonju.go.kr/health/contents.do?key=6230,2026.01.09,2026-07-15T23:45:29+09:00,1,False,verified,6cc835bb12191cb2b662,84ceaf4e91f3108747875a75e3505aa827c54673cb1be54bd3745c13dc92c942,official_labeled_field,high
public_health:5d11f32b5b97b0cd,mh:addiction,원주시중독관리통합지원센터,원주시중독관리통합지원센터,addiction_management_center,원주시보건소,원주시 원일로 139 지하 1층,원주시 원일로 139 지하 1층,원일로139,source_confirmed,,http://www.alja.or.kr/,원주시,https://www.wonju.go.kr/health/contents.do?key=1671,2026.01.09,2026-07-15T23:45:29+09:00,1,False,verified,95f1edf0047ad2d171c0,8da02ac32fb0c95773f76386abf6e8bdfdb0d357587bade10460866bbafe220f,official_labeled_field,high
public_health:e30af8d4e37b4656,mh:dementia,원주시치매안심센터,원주시치매안심센터,dementia_safety_center,원주시보건소,"강원특별자치도 원주시 지니기길 11-20 (무실동, 치매안심센터)","강원특별자치도 원주시 지니기길 11-20 (무실동, 치매안심센터)",지니기길11-20,source_confirmed,033-737-4542,https://wonju.nid.or.kr/,원주시,https://wonju.nid.or.kr/center/map.aspx,,2026-07-15T23:45:29+09:00,1,False,verified,7a0029fc12810b2dd9df,adb7eb2a103b49093c0f580746135cdc2094c300a32a19f738d273fa9d6ac140,direct_site_search_result,high
