bytes,content_type,fetched_at,raw_path,requested_url,resolved_url,sha256,source,status_code
446,text/xml,2026-07-16T16:21:26+00:00,raw/pmc_oa_comm/pmc_oa_comm_1f70cf093283ae8dafc5.xml,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC1043859,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC1043859,cbdb3a1c2d5368a26e5cde368ae1739e98950e09d73452a382f11fa20bcccf9c,pmc_oa_comm,200
1374535,application/x-gzip,2026-07-16T16:21:29+00:00,raw/pmc_oa_comm/pmc_oa_comm_be5055ef02905f36d319.tar.gz,https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/38/22/PMC1043859.tar.gz,https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_package/38/22/PMC1043859.tar.gz,8d58216b577112eb668efde691374e0531e5ac12d44382bccf38f12952aee6b4,pmc_oa_comm,200
22052,text/xml,2026-07-16T16:21:30+00:00,raw/medlineplus_health_topics/medlineplus_health_topics_92d7053c0b726ea12e81.xml,https://wsearch.nlm.nih.gov/ws/query?db=healthTopics&term=headache&rettype=topic&retmax=1&tool=kdu-commercial-medical-corpus,https://wsearch.nlm.nih.gov/ws/query?db=healthTopics&term=headache&rettype=topic&retmax=1&tool=kdu-commercial-medical-corpus,7706c1a7974a0a10475be2b7c3b45d4087ccc08a0e93cd996545c7904fb83aef,medlineplus_health_topics,200
27692,text/xml,2026-07-16T16:21:31+00:00,raw/medlineplus_health_topics/medlineplus_health_topics_0ee8b6f3049f01e5b9c2.xml,https://wsearch.nlm.nih.gov/ws/query?db=healthTopics&term=high+blood+pressure&rettype=topic&retmax=1&tool=kdu-commercial-medical-corpus,https://wsearch.nlm.nih.gov/ws/query?db=healthTopics&term=high+blood+pressure&rettype=topic&retmax=1&tool=kdu-commercial-medical-corpus,b1914b06f27ba40cfe5a0b6b910436bd901320542391b757fb41cd79d109e25f,medlineplus_health_topics,200
34892,text/html,2026-07-16T16:21:32+00:00,raw/medlineplus_medical_tests/medlineplus_medical_tests_d3187f2dcc863002d302.html,https://medlineplus.gov/lab-tests/complete-blood-count-cbc/,https://medlineplus.gov/lab-tests/complete-blood-count-cbc/,27e0d44751a3a83f2e5f8f72ae8a002ba00cb824b02afeec09f8e13fdecfd10f,medlineplus_medical_tests,200
53429,text/html,2026-07-16T16:21:32+00:00,raw/medlineplus_medical_tests/medlineplus_medical_tests_83c4bc21670bd61ef8f5.html,https://medlineplus.gov/lab-tests/blood-glucose-test/,https://medlineplus.gov/lab-tests/blood-glucose-test/,181709cf9aeda20c47c1ed6e8bb0bac166a7ec4927f8abba9d5ed34a1fb50a36,medlineplus_medical_tests,200
4176,application/json,2026-07-16T16:21:33+00:00,raw/medlineplus_genetics/medlineplus_genetics_270bc6f3aac1dd6b2e90.json,https://medlineplus.gov/download/genetics/condition/alzheimer-disease.json,https://medlineplus.gov/download/genetics/condition/alzheimer-disease.json,b410612fadc42acb55b7f3e547dca0788c0ee7d3989f07b20fc4329996e1f804,medlineplus_genetics,200
